left_context,Candidate_words,right_context,target_status
<start> What time is it?” “One o'clock.” I nearly spit out,some,soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some,soda.,“In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda.,“In,the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In,the,afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the,afternoon?”,“No. In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?”,“No.,In the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No.,In,the morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In,the,morning. Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the,morning.,Don't let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning.,Don't,let that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't,let,that damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let,that,damn sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that,damn,sunlight fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn,sunlight,fool you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight,fool,you. It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool,you.,It lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you.,It,lies. <end>,0
<start> What time is it?” “One o'clock.” I nearly spit out some soda. “In the afternoon?” “No. In the morning. Don't let that damn sunlight fool you. It,lies.,<end>,0
<start>,I,"understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I,understand,"that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I understand,that,"you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I understand that,you,"don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",1
<start> I understand that you,don’t,"want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I understand that you don’t,want,"to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I understand that you don’t want,to,"marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I understand that you don’t want to,marry,"me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
<start> I understand that you don’t want to marry,"me,”","I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,”",I,"said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I",said.,"“I mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I said.",“I,"mean, I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I said. “I","mean,","I don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I said. “I mean,",I,"don’t know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I",don’t,"know why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t",know,"why, since I’m simply delightful to be around. But to each his own taste. <end>",0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know","why,",since I’m simply delightful to be around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why,",since,I’m simply delightful to be around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since",I’m,simply delightful to be around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m",simply,delightful to be around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply",delightful,to be around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful",to,be around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to",be,around. But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be",around.,But to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around.",But,to each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But",to,each his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to",each,his own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each",his,own taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his",own,taste. <end>,0
"<start> I understand that you don’t want to marry me,” I said. “I mean, I don’t know why, since I’m simply delightful to be around. But to each his own",taste.,<end>,0
<start>,How,does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How,does,knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does,knowing,<em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing,<em>'things,could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things,could,be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could,be,worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be,worse'</em>,than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em>,than,what I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than,what,I already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what,I,already deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I,already,deem is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already,deem,is awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem,is,awful make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is,awful,make me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful,make,me feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make,me,feel any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me,feel,any better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel,any,better? You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any,better?,You mean I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better?,You,mean I could sink even lower? Oh joy! <end>,1
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You,mean,I could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean,I,could sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I,could,sink even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could,sink,even lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink,even,lower? Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even,lower?,Oh joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower?,Oh,joy! <end>,0
<start> How does knowing <em>'things could be worse'</em> than what I already deem is awful make me feel any better? You mean I could sink even lower? Oh,joy!,<end>,0
<start>,What,do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What,do,you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do,you,do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you,do,when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do,when,you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when,you’re,in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re,in,a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in,a,room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a,room,of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room,of,vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of,vampires,and the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires,and,the most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and,the,most dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the,most,dangerous one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most,dangerous,one tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous,one,tells you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one,tells,you that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells,you,that you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you,that,you know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that,you,know too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you,know,too much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know,too,much? You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too,much?,You bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much?,You,bolt. What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You,bolt.,What did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt.,What,did I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What,did,I do? I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did,I,do? I hyperventilated. <end>,1
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I,do?,I hyperventilated. <end>,0
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do?,I,hyperventilated. <end>,1
<start> What do you do when you’re in a room of vampires and the most dangerous one tells you that you know too much? You bolt. What did I do? I,hyperventilated.,<end>,0
<start>,Oh,"no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
<start> Oh,"no,","Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no,","Nick""","Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick""",Jaime,"said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime",said,"in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said",in,"tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said in",tones,"of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said in tones",of,"supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said in tones of",supremely,"unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said in tones of supremely",unconvincing,"shock, ""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing","shock,","""how could you? When my back was turned for one momement. And my food was so delicious. <end>",0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock,","""how",could you? When my back was turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how",could,you? When my back was turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could",you?,When my back was turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you?",When,my back was turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When",my,back was turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my",back,was turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back",was,turned for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was",turned,for one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned",for,one momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for",one,momement. And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one",momement.,And my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement.",And,my food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And",my,food was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my",food,was so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food",was,so delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was",so,delicious. <end>,0
"<start> Oh no, Nick"" Jaime said in tones of supremely unconvincing shock, ""how could you? When my back was turned for one momement. And my food was so",delicious.,<end>,0
<start>,I,"am Captain Dakkan. I am in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you... <end>",0
<start> I,am,"Captain Dakkan. I am in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you... <end>",0
<start> I am,Captain,"Dakkan. I am in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you... <end>",1
<start> I am Captain,Dakkan.,"I am in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you... <end>",0
<start> I am Captain Dakkan.,I,"am in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you... <end>",0
<start> I am Captain Dakkan. I,am,"in charge of this facility."" ""Captain Dakkan,"" Ryan repeated. ""It's good to meet you. I've heard... well... nothing about you... <end>",0
